reference_id,name,source_kind,review_tier,source_family,domain,surface_type,page_job,information_topology,transferable_principle,non_transferable_or_caution,source_url,source_page,maturity_signal,reviewed_on,evidence_scope,evidence_notes
AW-002,ERA Residence,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-003,Aardvark Book Club,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-004,HOBRO DIGITAL,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-005,Decathlon Yestalgia,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-006,Sharplink,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-007,Ai in Design Report 2026,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-008,MIU MIU A House that we shaped,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-009,/zeroz Brand Site,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-010,Kononenko Architectural Bureau,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-011,The state of the gallery,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-012,Oimachi,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-013,Cipher,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-014,LIKOVA,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-015,Michael Gatt,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-016,The Watch,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-017,SSTR - Friction Reduction,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-018,PX PUSH,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-019,HAOQI.DESIGN,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-020,Mosby's Files,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-021,Revelatio Studio,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-022,Studio K95,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-023,NOTHIN',award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-024,Produx Design,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-025,Vero New-York,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-026,20 Years Inspired by People,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-027,No Art,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-028,Alethia,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
