source,path,bytes,disposition
v5.5.0,COMPATIBILITY.md,674,read_and_synthesized; archived_in_original_zip
v5.5.0,FEEDBACK_LEDGER.md,1644,read_and_synthesized; archived_in_original_zip
v5.5.0,FILE_INDEX.md,7978,read_and_synthesized; archived_in_original_zip
v5.5.0,ITERATION_LEDGER.md,5184,read_and_synthesized; archived_in_original_zip
v5.5.0,OWNER_USAGE.md,3247,read_and_synthesized; archived_in_original_zip
v5.5.0,PACKAGE_INFO.json,1714,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,QUICKSTART_15_MIN.md,4409,read_and_synthesized; archived_in_original_zip
v5.5.0,README.md,6102,read_and_synthesized; archived_in_original_zip
v5.5.0,SELF_CRITIQUE_V5.5.md,1449,copied_to_deep_library_and_synthesized
v5.5.0,START_HERE.md,6313,read_and_synthesized; archived_in_original_zip
v5.5.0,V4_TO_V5_CHANGELOG.md,1382,read_and_synthesized; archived_in_original_zip
v5.5.0,V5.3_TO_V5.4_CHANGELOG.md,1422,read_and_synthesized; archived_in_original_zip
v5.5.0,V5.4.1_TO_V5.4.2_CHANGELOG.md,1413,read_and_synthesized; archived_in_original_zip
v5.5.0,V5.4.2_TO_V5.5.0_CHANGELOG.md,4449,read_and_synthesized; archived_in_original_zip
v5.5.0,V5.4_TO_V5.4.1_CHANGELOG.md,1997,read_and_synthesized; archived_in_original_zip
v5.5.0,VALIDATION_REPORT.json,3748,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,benchmarks/BENCHMARKS.json,17406,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,benchmarks/README.md,429,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/ACCOUNTING_DESIGN_DIRECTIONS.md,3000,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/ACCOUNTING_DESIGN_SPEC.json,8644,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,examples/ACCOUNTING_REFERENCE_CANDIDATES.json,17305,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,examples/ACCOUNTING_REFERENCE_TRIAD.md,1501,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/AUDIT_DESIGN_DIRECTIONS.md,2377,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/AUDIT_REFERENCE_CANDIDATES.json,17346,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,examples/AUDIT_REFERENCE_TRIAD.md,1436,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/JIUAN_INVENTORY_CLOUD_FIRST_SPEC.json,6677,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,examples/README.md,828,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/TARGETED_POLISH_DESIGN_SPEC.json,5312,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/DESIGN_SPEC.json,9434,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/IMPLEMENTATION_BRIEF.md,6738,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/IMPLEMENTATION_RECEIPT.md,2077,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/PREVIOUS_BOX_WALL_FAILURE.md,1856,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/README.md,812,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/TAX_SURFACE_AUDIT.json,2953,read_for_mechanism_or_validation; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/TAX_WORKPAPER_DESIGN_SPEC.md,3417,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/TAX_WORKPAPER_EXCELLENCE_NOTE.md,5322,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/TAX_WORKPAPER_LOCAL_IMPLEMENTATION_HANDOFF.md,2229,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/TAX_WORKPAPER_REDESIGN_REPORT.md,2955,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/rejected-box-wall-desktop-1440x900.png,187213,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/tax-workpaper-desktop-1440x900.png,145207,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/tax-workpaper-desktop-error-1440x900.png,137914,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/tax-workpaper-desktop-full.png,195158,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/tax-workpaper-mobile-390x844.png,70594,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/tax-workpaper-mobile-error-390x844.png,68820,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/tax-workpaper-mobile-full.png,177150,read_and_synthesized; archived_in_original_zip
v5.5.0,examples/tax-workpaper-excellence/tax-workpaper-prototype.html,24754,read_and_synthesized; archived_in_original_zip
v5.5.0,governance/AI_STYLE_CLUSTER_REGISTRY.md,3060,read_and_synthesized; archived_in_original_zip
v5.5.0,governance/CLOUD_FIRST_COLLABORATION.md,1315,read_and_synthesized; archived_in_original_zip
v5.5.0,governance/CROSS_PROJECT_DIVERSITY.md,861,read_and_synthesized; archived_in_original_zip
v5.5.0,governance/EXECUTION_COMPLIANCE_PROTOCOL.md,1751,copied_to_deep_library_and_synthesized
v5.5.0,governance/FEEDBACK_TRIAGE.md,1531,read_and_synthesized; archived_in_original_zip
v5.5.0,governance/GPT_DEFAULT_RECIPES.md,3217,copied_to_deep_library_and_synthesized
v5.5.0,governance/HARD_GATES.md,3365,read_and_synthesized; archived_in_original_zip
v5.5.0,governance/LOW_CAPABILITY_AGENT_RULES.md,932,read_and_synthesized; archived_in_original_zip
v5.5.0,governance/THIRD_PARTY_SKILL_INTEROP.md,3400,read_and_synthesized; archived_in_original_zip
v5.5.0,playbook/01_DOMAIN_TO_FORM.md,2717,copied_to_deep_library_and_synthesized
v5.5.0,playbook/02_COMPOSITION_GRAMMAR.md,2602,copied_to_deep_library_and_synthesized
v5.5.0,playbook/03_ART_DIRECTION_ENGINE.md,1963,copied_to_deep_library_and_synthesized
v5.5.0,playbook/04_TYPOGRAPHY_ENGINE_ZH.md,3222,copied_to_deep_library_and_synthesized
v5.5.0,playbook/05_COLOR_SURFACE_ENGINE.md,1869,copied_to_deep_library_and_synthesized
