reference_id,name,source_kind,review_tier,source_family,domain,surface_type,page_job,information_topology,transferable_principle,non_transferable_or_caution,source_url,source_page,maturity_signal,reviewed_on,evidence_scope,evidence_notes
AW-001,Squarespace Foundations,award_site,deep,awwwards.com,award-site case study,marketing / editorial / portfolio / experimental,Explain a brand system through an interactive experience,narrative / exploration,A restrained two-color budget can keep the identity legible while interaction carries the expressive load.,Do not transfer the scroll-led brand-tour structure into a dense work application.,https://www.awwwards.com/sites/squarespace-foundations,1,Awwwards Site of the Day listing,2026-09-02,detail page and metadata,detail page and metadata
AW-002,ERA Residence,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-003,Aardvark Book Club,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-004,HOBRO DIGITAL,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-005,Decathlon Yestalgia,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-006,Sharplink,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-007,Ai in Design Report 2026,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-008,MIU MIU A House that we shaped,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-009,/zeroz Brand Site,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
AW-010,Kononenko Architectural Bureau,award_site,catalog,awwwards.com,mixed award-site sample,marketing / editorial / portfolio / experimental,,,Breadth reference only; inspect the actual site before transferring any principle.,"An award listing is not evidence of product usability, accessibility or suitability for another task.",https://www.awwwards.com/websites/sites_of_the_day/,1,Awwwards Site of the Day listing,2026-09-02,listing title and award metadata only,Listing-only breadth sample; not eligible as a direct design reference.
